Date,Open,High,Low,Close,Volume
3/7/2017,9.4987,9.5137,9.4473,9.4724,0
3/6/2017,9.5392,9.5501,9.4881,9.5008,0
3/3/2017,9.5205,9.5523,9.4818,9.5448,0
3/2/2017,9.5429,9.5548,9.5011,9.5214,0
3/1/2017,9.6095,9.6304,9.5306,9.5447,0
2/28/2017,9.6551,9.6795,9.6003,9.6102,0
2/27/2017,9.674,9.6913,9.6088,9.6568,0
2/24/2017,9.7405,9.7567,9.6572,9.676,0
2/23/2017,9.6539,9.7465,9.6404,9.7422,0
2/22/2017,9.6796,9.7086,9.6384,9.6626,0
2/21/2017,9.667,9.6864,9.6213,9.6798,0
2/20/2017,9.6294,9.6887,9.623,9.6708,0
2/17/2017,9.6892,9.7104,9.612,9.6355,0
2/16/2017,9.6667,9.7196,9.6633,9.6901,0
2/15/2017,9.6761,9.6873,9.609,9.6682,0
2/14/2017,9.7174,9.7388,9.6526,9.6759,0
2/13/2017,9.6983,9.7298,9.6725,9.7176,0
2/10/2017,9.6945,9.7157,9.6496,9.691,0
2/9/2017,9.728,9.763,9.6875,9.6951,0
2/8/2017,9.7058,9.7381,9.6765,9.7304,0
2/7/2017,9.6738,9.7343,9.5752,9.7056,0
2/6/2017,9.6903,9.7057,9.6378,9.6743,0
2/3/2017,9.7167,9.7296,9.6646,9.6873,0
2/2/2017,9.8194,9.8652,9.7101,9.7215,0
2/1/2017,9.7606,9.8398,9.731,9.8215,0
1/31/2017,9.6837,9.7743,9.6267,9.7599,0
1/30/2017,9.7357,9.7791,9.6681,9.6871,0
1/27/2017,9.7672,9.7861,9.7089,9.7417,0
1/26/2017,9.7982,9.8367,9.7385,9.7701,0
1/25/2017,9.7118,9.8072,9.6872,9.8011,0
1/24/2017,9.7219,9.731,9.6302,9.7125,0
1/23/2017,9.5861,9.7305,9.5814,9.7232,0
1/20/2017,9.5723,9.6051,9.5108,9.5998,0
1/19/2017,9.5058,9.5747,9.501,9.5739,0
1/18/2017,9.626,9.6304,9.5007,9.5084,0
1/17/2017,9.3393,9.6296,9.3172,9.6275,0
1/16/2017,9.3505,9.3765,9.2886,9.344,0
1/13/2017,9.4267,9.4875,9.3982,9.4443,0
1/12/2017,9.4691,9.5512,9.4199,9.4291,0
1/11/2017,9.4418,9.5155,9.3351,9.4703,0
1/10/2017,9.4313,9.4539,9.3867,9.4427,0
1/9/2017,9.5127,9.5176,9.4015,9.4335,0
1/6/2017,9.6197,9.6445,9.5049,9.5294,0
1/5/2017,9.5549,9.6404,9.5122,9.63,0
1/4/2017,9.4874,9.5821,9.4757,9.5559,0
1/3/2017,9.5191,9.5463,9.4611,9.4931,0
1/2/2017,9.5717,9.5821,9.5154,9.5221,0
12/30/2016,9.5074,9.6079,9.4938,9.5679,0
12/29/2016,9.4809,9.5236,9.4683,9.51,0
12/28/2016,9.518,9.5405,9.4621,9.4848,0
12/27/2016,9.532,9.5391,9.4934,9.5213,0
12/26/2016,9.5135,9.5558,9.5098,9.5381,0
12/23/2016,9.5307,9.5485,9.4879,9.538,0
12/22/2016,9.586,9.6093,9.5261,9.5336,0
12/21/2016,9.6053,9.6198,9.562,9.5901,0
12/20/2016,9.6294,9.6406,9.5607,9.6022,0
12/19/2016,9.6991,9.7088,9.5951,9.6305,0
12/16/2016,9.6363,9.7223,9.6056,9.7055,0
12/15/2016,9.7437,9.7548,9.6002,9.6381,0
12/14/2016,9.8155,9.8675,9.7188,9.748,0
12/13/2016,9.8335,9.8739,9.8102,9.8174,0
12/12/2016,9.7527,9.8526,9.7379,9.8338,0
12/9/2016,9.7608,9.7928,9.7365,9.7585,0
12/8/2016,9.7903,9.8548,9.7293,9.761,0
12/7/2016,9.83,9.8384,9.7468,9.7922,0
12/6/2016,9.8693,9.9092,9.8123,9.8329,0
12/5/2016,9.8687,9.8843,9.7895,9.8747,0
12/2/2016,9.7631,9.8855,9.745,9.8713,0
12/1/2016,9.6985,9.848,9.6933,9.7652,0
11/30/2016,9.6871,9.7149,9.6295,9.7003,0
11/29/2016,9.6272,9.7163,9.6049,9.6878,0
11/28/2016,9.6696,9.721,9.6027,9.6303,0
11/25/2016,9.6545,9.6885,9.6269,9.6769,0
11/24/2016,9.6478,9.6949,9.6145,9.6588,0
11/23/2016,9.6332,9.6723,9.584,9.6484,0
11/22/2016,9.691,9.7047,9.6032,9.6357,0
11/21/2016,9.5865,9.7073,9.5456,9.6901,0
11/18/2016,9.6315,9.6484,9.539,9.576,0
11/17/2016,9.6511,9.7003,9.6226,9.632,0
11/16/2016,9.6605,9.6987,9.6245,9.6525,0
11/15/2016,9.6857,9.7211,9.6014,9.6636,0
11/14/2016,9.7673,9.7861,9.6496,9.6914,0
11/11/2016,9.735,9.8323,9.7117,9.7767,0
11/10/2016,9.6203,9.7623,9.5955,9.7379,0
11/9/2016,9.5972,9.7309,9.5755,9.6221,0
11/8/2016,9.6084,9.6541,9.5807,9.5979,0
11/7/2016,9.7014,9.7148,9.5989,9.615,0
11/4/2016,9.6621,9.743,9.6527,9.7092,0
11/3/2016,9.5383,9.6918,9.533,9.6635,0
11/2/2016,9.4895,9.5854,9.4751,9.5413,0
11/1/2016,9.4881,9.5246,9.4637,9.4944,0
10/31/2016,9.4427,9.5017,9.4146,9.4955,0
10/28/2016,9.4293,9.4734,9.3913,9.4494,0
10/27/2016,9.4974,9.5161,9.4196,9.4322,0
10/26/2016,9.4513,9.5037,9.424,9.4996,0
