Date,Open,High,Low,Close,Volume
4/6/2017,7.7682,7.7711,7.7682,7.7699,0
4/5/2017,7.7702,7.7717,7.768,7.7688,0
4/4/2017,7.7713,7.7718,7.7694,7.7708,0
4/3/2017,7.7708,7.7725,7.77,7.7716,0
3/31/2017,7.7693,7.772,7.7683,7.771,0
3/30/2017,7.7688,7.7725,7.7679,7.7697,0
3/29/2017,7.7678,7.7702,7.7669,7.7691,0
3/28/2017,7.767,7.7684,7.7663,7.7682,0
3/27/2017,7.7666,7.7691,7.766,7.7672,0
3/24/2017,7.7667,7.7688,7.7657,7.7664,0
3/23/2017,7.7659,7.7683,7.765,7.7669,0
3/22/2017,7.7654,7.7683,7.7649,7.766,0
3/21/2017,7.7648,7.7671,7.764,7.7659,0
3/20/2017,7.761,7.7671,7.7602,7.7656,0
3/17/2017,7.7635,7.7656,7.7594,7.7618,0
3/16/2017,7.7652,7.7672,7.7592,7.7637,0
3/15/2017,7.7674,7.7706,7.7646,7.7657,0
3/14/2017,7.764,7.771,7.764,7.7675,0
3/13/2017,7.7642,7.766,7.7634,7.7645,0
3/10/2017,7.7643,7.7668,7.7634,7.7645,0
3/9/2017,7.7659,7.7679,7.7637,7.7644,0
3/8/2017,7.7641,7.7679,7.7636,7.7661,0
3/7/2017,7.7641,7.7659,7.7633,7.7642,0
3/6/2017,7.763,7.7649,7.7624,7.7644,0
3/3/2017,7.7622,7.765,7.7616,7.7632,0
3/2/2017,7.7629,7.7637,7.7617,7.7625,0
3/1/2017,7.762,7.7637,7.7615,7.763,0
2/28/2017,7.7608,7.7633,7.7606,7.7623,0
2/27/2017,7.7609,7.7618,7.7598,7.7614,0
2/24/2017,7.759,7.7621,7.7586,7.761,0
2/23/2017,7.7605,7.7611,7.7581,7.7596,0
2/22/2017,7.7606,7.7619,7.7594,7.7606,0
2/21/2017,7.7603,7.7615,7.7602,7.7612,0
2/20/2017,7.7602,7.7623,7.7598,7.7608,0
2/17/2017,7.7593,7.7619,7.7587,7.7614,0
